0.9231, 198.26, 	0.008, 0.107, #114, 	234, merge, 768, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9231, 56.21, 	0.007, 0.107, #119, 	234, merge, 768, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9214, 2730.05, 	0.016, 0.108, #41, 	234, merge, 64, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9205, 340.04, 	0.011, 0.108, #116, 	234, merge, 768, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9205, 119.80, 	0.007, 0.108, #131, 	234, merge, 1024, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9171, 1528.19, 	0.008, 0.110, #62, 	234, merge, 128, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9171, 197.27, 	0.011, 0.110, #129, 	234, merge, 1024, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9162, 584.13, 	0.011, 0.111, #84, 	234, merge, 256, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9128, 508.78, 	0.011, 0.113, #95, 	234, merge, 512, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9128, 85.11, 	0.007, 0.113, #98, 	234, merge, 512, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9128, 32.99, 	0.008, 0.113, #132, 	234, merge, 1024, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9094, 304.75, 	0.009, 0.115, #97, 	234, merge, 512, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9077, 167.35, 	0.012, 0.116, #85, 	234, merge, 256, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9068, 85.07, 	0.010, 0.116, #102, 	234, merge, 512, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9060, 951.17, 	0.011, 0.117, #78, 	234, merge, 256, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9026, 582.28, 	0.016, 0.119, #80, 	234, merge, 256, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.8940, 2753.50, 	0.019, 0.123, #40, 	234, merge, 64, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.8906, 2753.22, 	0.020, 0.125, #36, 	234, merge, 64, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.8906, 1480.71, 	0.015, 0.125, #65, 	234, merge, 128, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.8855, 935.44, 	0.020, 0.127, #67, 	234, merge, 128, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.8786, 347.36, 	0.013, 0.131, #52, 	234, merge, 128, NaiveBayesClassifier
0.8761, 1484.83, 	0.018, 0.132, #61, 	234, merge, 128, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.8692, 934.13, 	0.023, 0.135, #63, 	234, merge, 128, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.8692, 304.93, 	0.019, 0.135, #68, 	234, merge, 128, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.8675, 1822.12, 	0.024, 0.136, #38, 	234, merge, 64, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.8624, 1821.89, 	0.027, 0.138, #42, 	234, merge, 64, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.8598, 89.85, 	0.043, 0.139, #86, 	234, merge, 512, NaiveBayesClassifier
0.8581, 60.44, 	0.014, 0.140, #103, 	234, merge, 768, NaiveBayesClassifier
0.8573, 2720.40, 	0.014, 0.140, #45, 	234, merge, 64, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.8564, 304.35, 	0.019, 0.140, #64, 	234, merge, 128, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.8530, 606.98, 	0.033, 0.142, #43, 	234, merge, 64, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.8513, 2730.27, 	0.016, 0.142, #49, 	234, merge, 64, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.8444, 608.31, 	0.031, 0.145, #39, 	234, merge, 64, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.8427, 43.88, 	0.044, 0.146, #120, 	234, merge, 1024, NaiveBayesClassifier
0.8342, 176.40, 	0.017, 0.149, #69, 	234, merge, 256, NaiveBayesClassifier
0.7889, 710.09, 	0.032, 0.163, #35, 	234, merge, 64, NaiveBayesClassifier
0.7598, 1814.48, 	0.036, 0.171, #46, 	234, merge, 64, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.7573, 607.21, 	0.045, 0.172, #47, 	234, merge, 64, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.7513, 2739.60, 	0.045, 0.173, #44, 	234, merge, 64, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.7504, 2745.47, 	0.047, 0.173, #48, 	234, merge, 64, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.7154, 1821.31, 	0.053, 0.181, #50, 	234, merge, 64, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.7043, 606.50, 	0.055, 0.183, #51, 	234, merge, 64, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.6880, 5571.80, 	0.067, 0.185, #3, 	234, merge, 16, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.6880, 5516.81, 	0.069, 0.185, #7, 	234, merge, 16, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.6726, 4162.66, 	0.072, 0.188, #20, 	234, merge, 32, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.6684, 4153.30, 	0.076, 0.188, #24, 	234, merge, 32, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.6487, 5502.90, 	0.066, 0.191, #15, 	234, merge, 16, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.6479, 5430.89, 	0.089, 0.191, #6, 	234, merge, 16, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.6453, 5436.64, 	0.089, 0.191, #2, 	234, merge, 16, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.6385, 5564.01, 	0.083, 0.192, #11, 	234, merge, 16, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.6325, 4131.39, 	0.084, 0.193, #32, 	234, merge, 32, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.6197, 4141.26, 	0.076, 0.194, #28, 	234, merge, 32, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.6094, 5446.05, 	0.097, 0.195, #10, 	234, merge, 16, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.6085, 4156.77, 	0.102, 0.195, #19, 	234, merge, 32, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.6043, 4110.55, 	0.096, 0.196, #23, 	234, merge, 32, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.5880, 5394.82, 	0.089, 0.197, #14, 	234, merge, 16, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.5650, 4128.13, 	0.095, 0.198, #27, 	234, merge, 32, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.5615, 4080.34, 	0.108, 0.199, #8, 	234, merge, 16, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.5530, 4126.76, 	0.109, 0.199, #4, 	234, merge, 16, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.5504, 1869.21, 	0.117, 0.199, #9, 	234, merge, 16, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.5487, 4126.84, 	0.114, 0.199, #31, 	234, merge, 32, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.5453, 1869.81, 	0.117, 0.199, #5, 	234, merge, 16, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.5444, 4094.64, 	0.114, 0.199, #12, 	234, merge, 16, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.5333, 1863.77, 	0.111, 0.200, #13, 	234, merge, 16, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.5239, 2927.34, 	0.107, 0.200, #25, 	234, merge, 32, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.5222, 4095.23, 	0.092, 0.200, #16, 	234, merge, 16, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.5137, 2924.70, 	0.107, 0.200, #21, 	234, merge, 32, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.5085, 1866.66, 	0.097, 0.200, #17, 	234, merge, 16, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.4906, 2917.50, 	0.103, 0.200, #33, 	234, merge, 32, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.4829, 2912.55, 	0.098, 0.200, #29, 	234, merge, 32, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.4795, 1113.56, 	0.108, 0.200, #22, 	234, merge, 32, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.4684, 1112.72, 	0.105, 0.200, #26, 	234, merge, 32, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.4487, 1426.41, 	0.078, 0.199, #18, 	234, merge, 32, NaiveBayesClassifier
0.4470, 1113.84, 	0.095, 0.199, #30, 	234, merge, 32, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.4419, 1112.40, 	0.094, 0.199, #34, 	234, merge, 32, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.4188, 2767.92, 	0.073, 0.197, #1, 	234, merge, 16, NaiveBayesClassifier
